
       CODE NAME                           MUNICIPALITY                   PR       LAT       LON  ELEV  CLA FIRSTDAY LASTDAY   O3  PM  N2  NO  NX  S2  CO  BZ  P2 MOB     
----------- ------------------------------ ------------------------------ -- --------- --------- ----- ---- -------- -------- --- --- --- --- --- --- --- --- --- ---     
    3000021 CASALGRANDE                    CASALGRANDE                    RE  44.58853  10.73033   105  012 20080401 20090430  00  01  01  01  01  00  01  01  00  00     
    3000022 S. ROCCO                       GUASTALLA                      RE  44.87373  10.66478    22  033 20080401 -999      01  01  01  01  01  00  00  00  01  00     
    3000023 UM-RE-01                       REGGIO NELL'EMILIA             RE  44.69955  10.62276    59  000 20060512 20161230  00  01  00  00  00  00  00  00  00  01     
    3000024 LM-RE                          CORREGGIO                      RE  44.77476  10.78036    30  000 20120401 -999      01  01  01  01  01  01  01  01  01  01     
    3000025 TIMAVO                         REGGIO NELL'EMILIA             RE  44.69955  10.62276    59  011 20140101 -999      00  01  01  01  01  00  01  01  00  00     
    3000026 TEST OPAS                      REGGIO NELL'EMILIA             RE  44.68904  10.66359    55  001 20200101 -999      01  01  01  01  01  00  00  00  01  00     
    4000001 MO - L.GO GARIBALDI            MODENA                         MO  44.64526  10.93161    32  011 19900202 20060407  01  00  01  01  01  01  01  00  00  00     
    4000002 GIARDINI                       MODENA                         MO  44.63699  10.90572    39  011 19900205 -999      00  01  01  01  01  00  01  01  00  00     
    4000005 MO - VIA NONANTOLANA           MODENA                         MO  44.65713  10.94956    30  011 19950101 20060802  01  01  01  01  01  01  01  01  01  00     
    4000006 CAMPOGALLIANO                  CAMPOGALLIANO                  MO  44.69146  10.84892    41  012 19900320 20061009  00  00  01  01  01  00  01  00  00  00     
    4000007 CASTELFRANCO                   CASTELFRANCO EMILIA            MO  44.59809  11.04704    42  011 19900320 20061009  00  00  01  01  01  00  01  00  00  00     
    4000008 SASSUOLO                       SASSUOLO                       MO  44.54553  10.78569   118  011 19900210 20080228  00  00  01  01  01  00  01  01  00  00     
    4000009 SPEZZANO 1                     FIORANO MODENESE               MO  44.54086  10.85396   118  023 19950101 20061009  01  00  00  00  00  00  00  00  00  00     
    4000010 SPEZZANO 2                     FIORANO MODENESE               MO  44.53254  10.84637   131  011 19950504 20070508  00  01  01  01  01  00  01  00  00  00     
    4000011 CARPI 1                        CARPI                          MO  44.77639  10.88416    25  011 19900316 20051218  00  00  01  01  01  00  01  01  00  00     
    4000012 REMESINA                       CARPI                          MO  44.80038  10.88426    25  012 19971115 -999      01  01  01  01  01  00  01  01  00  00     
    4000013 PAVULLO                        PAVULLO NEL FRIGNANO           MO  44.33263  10.83380   674  011 19900302 20061009  00  00  01  01  01  01  00  00  00  00     
    4000014 MIRANDOLA                      MIRANDOLA                      MO  44.88387  11.06806    18  012 19900411 20070510  01  00  01  01  01  00  01  00  00  00     
    4000015 MO - 20 SETTEMBRE              MODENA                         MO  44.64620  10.92677    30  011 19990801 20060407  01  01  01  01  01  00  01  01  00  00     
    4000016 MARANELLO                      MARANELLO                      MO  44.52767  10.87234   110  032 19990901 20070202  01  01  01  01  01  00  01  01  01  00     
    4000017 MO - AMUNDSEN                  MODENA                         MO  44.65724  10.89699    30  011 20030101 20051115  00  00  01  01  01  00  01  00  00  00     
    4000020 SOLIGNANO                      CASTELVETRO DI MODENA          MO -99.99999 -99.99999 -9999  000 19960925 20041001  00  00  00  00  00  00  00  00  00  00     
    4000022 PARCO FERRARI                  MODENA                         MO  44.65157  10.90731    30  031 20051116 -999      01  01  01  01  01  00  01  00  01  00     
    4000023 ALBARETO                       MODENA                         MO  44.68779  10.96636    28  022 20051001 -999      00  01  01  01  01  00  00  00  00  00     
    4000024 TAGLIATI                       MODENA                         MO  44.67038  10.96230    28  022 20051001 -999      00  01  01  01  01  00  00  00  01  00     
    4000110 SAN FRANCESCO                  FIORANO MODENESE               MO  44.54215  10.81988   131  011 20070510 -999      00  01  01  01  01  00  01  01  00  00     
    4000137 SKYPOST                        MODENA                         MO  44.64999  10.93000    30  000 20060201 20081231  00  01  00  00  00  00  00  00  00  01     
    4000144 RILOCABILE SAT (501015)        FIORANO MODENESE               MO  44.54417  10.81249 -9999  000 19940610 20080228  01  01  01  01  01  00  01  00  00  01     
    4000145 MEZZO MOBILE HERA MODENA       CASTELFRANCO EMILIA            MO  44.63498  11.01418 -9999  000 19900101 20080508  01  01  01  01  01  01  01  00  00  01     
    4000146 VIGNOLA                        VIGNOLA                        MO  44.48867  11.00828   125  012 20080530 20101104  01  01  01  01  01  00  00  00  00  00     
    4000152 GAVELLO                        MIRANDOLA                      MO  44.92877  11.17895     4  033 20080531 -999      01  01  01  01  01  00  00  00  01  00     
    4000153 LM-MO                          CASTELVETRO DI MODENA          MO  44.52757  10.92420 -9999  000 20090101 -999      01  01  01  01  01  01  01  01  01  01     
    4000154 UM-MO-01                       MODENA                         MO -99.99999 -99.99999 -9999  000 20090101 -999      00  01  00  00  00  00  00  00  00  01     
    4000155 PARCO EDILCARANI               SASSUOLO                       MO  44.54038  10.79236   118  031 20100216 -999      01  01  01  01  01  00  00  00  01  00     
    4000157 MUNAROLA                       MODENA                         MO  44.68091  10.99296    28  033 20130101 20151231  00  01  00  00  00  00  00  00  00  00     
    4000158 BELGIO                         MODENA                         MO  44.67702  10.93580    30  022 20130101 -999      00  01  01  01  01  00  00  00  00  00     
    4000159 XXII APRILE                    MODENA                         MO  44.65611  10.93974    30  031 20130101 20151231  00  01  00  00  00  00  00  00  00  00     
    4000160 UM-RE-01                       FIORANO MODENESE               MO  44.54215  10.81988   131  000 20180101 -999      00  01  00  00  00  00  00  00  00  01     
    5000004 FORNO UNICEM                   VERNASCA                       PC  44.79000   9.81000 -9999  000 19900101 20040916  00  00  00  00  00  00  00  00  00  00     
    5000006 MOCOMERO                       VERNASCA                       PC  44.78737   9.80652   310  023 19961015 20041214  00  01  01  01  01  01  00  00  00  00     
    5000007 LUGAGNANO                      LUGAGNANO VAL D'ARDA           PC  44.82389   9.83037   210  022 19950910 -999      01  01  01  01  01  00  01  00  00  00     
    5000008 CASTEL SAN GIOVANNI            CASTEL SAN GIOVANNI            PC  45.06393   9.43889    69  011 19961015 20070207  01  01  01  01  01  01  00  00  00  00     
    5000009 C.S.G. METEO                   CASTEL SAN GIOVANNI            PC  45.07069   9.42592    69  033 19961001 20070407  00  00  00  00  00  00  00  00  00  00     
    5000010 SARMATO                        SARMATO                        PC  45.05954   9.49969    68  021 19961015 20070207  00  00  01  01  01  01  00  00  00  00     
    5000012 TORRE METEO                    PIACENZA                       PC  45.03775   9.71304   150  031 19961001 20070406  00  00  00  00  00  00  00  00  00  00     
    5000013 PUBBLICO PASSEGGIO             PIACENZA                       PC  45.04520   9.70139    61  031 19961015 20050930  01  01  01  01  01  01  01  00  00  00     
    5000014 MEDAGLIE ORO                   PIACENZA                       PC  45.04544   9.68425 -9999  000 19960731 20031016  00  00  01  01  01  00  01  01  00  00     
    5000015 PIATTI                         PIACENZA                       PC  45.04361   9.69032    61  011 19950802 20040330  00  00  01  01  01  00  01  00  00  00     
    5000016 ROMA                           PIACENZA                       PC  45.04786   9.70796    61  001 19951215 20060111  00  00  01  01  01  01  01  00  00  00     
    5000017 GIORDANI                       PIACENZA                       PC  45.04907   9.69388    61  011 19921215 20050627  00  00  01  01  01  00  01  00  00  00     
    5000018 CAORSO ENEL                    CAORSO                         PC  45.07096   9.87651    46  003 19900101 20171130  00  00  00  00  00  00  00  00  00  00     
    5000019 FIORENZUOLA                    FIORENZUOLA D'ARDA             PC  44.92651   9.91072    50  011 19900115 20080215  00  00  01  01  01  00  00  00  00  00     
    5000020 CENO                           PIACENZA                       PC  45.05442   9.72686    61  012 20001201 -999      00  01  01  01  01  00  01  00  01  00     
    5000021 CORTEMAGGIORE                  CORTEMAGGIORE                  PC  44.98774   9.92775    52  012 20030101 20050929  01  01  01  01  01  01  01  00  00  00     
    5000024 GERBIDO                        PIACENZA                       PC  45.05589   9.74795    61  022 20020102 -999      00  01  01  01  01  00  01  00  01  00     
    5000025 METEO IREN                     PIACENZA                       PC  45.05803   9.73441   100  022 20030101 -999      00  00  00  00  00  00  00  00  00  00     
    5000026 SAN ROCCO                      LODI                           ??  45.08027   9.70010    47  023 20020101 -999      00  01  01  01  01  00  01  00  00  00     
    5000027 MONTALE                        PIACENZA                       PC  45.02669   9.74960    61  012 20050920 20101123  00  01  01  01  01  00  01  00  00  00     
    5000033 GIORDANI-FARNESE               PIACENZA                       PC  45.04884   9.69327    61  011 20060112 -999      00  01  01  01  01  00  01  01  00  00     
    5000062 BESENZONE                      BESENZONE                      PC  44.98950  10.01920    50  033 20071207 -999      01  01  01  01  01  00  00  00  01  00     
    5000064 LM-PC                          FIORENZUOLA D'ARDA             PC  44.92651   9.91060    80  000 19960115 -999      01  01  01  01  01  01  01  00  00  01     
    5000065 PARCO MONTECUCCO               PIACENZA                       PC  45.03854   9.66935    61  031 20090608 -999      01  01  01  01  01  00  00  00  01  00     
    5000066 CORTE BRUGNATELLA              CORTE BRUGNATELLA              PC  44.73473   9.36693   765  033 20100426 -999      01  01  01  01  01  00  00  00  00  00     
    5000067 UM-PC-01                       ROTTOFRENO                     PC -99.99999 -99.99999 -9999  000 20100101 -999      00  01  00  00  00  00  00  00  01  01     
    5000068 LM-PC-PM                       REGGIO NELL'EMILIA             RE -99.99999 -99.99999 -9999  000 20180101 -999      00  00  00  00  00  00  00  00  00  01     
    6000010 PARCO RESISTENZA               FORLI'                         FC  44.21515  12.04816    29  031 19950101 -999      01  01  01  01  01  00  01  01  01  00     
    6000011 ROMA                           FORLI'                         FC  44.21597  12.05750    25  011 19950101 -999      00  01  01  01  01  01  01  01  00  00     
    6000012 MULINI                         CESENA                         FC  44.14000  12.24000    33  011 19950101 20050222  01  00  01  01  01  00  01  00  00  00     
    6000013 EMILIA                         CESENA                         FC  44.14000  12.26000    34  011 19950101 20080402  00  01  01  01  01  00  01  00  00  00     
    6000014 FRANCHINI-ANGELONI             CESENA                         FC  44.14138  12.24474    41  011 19950101 -999      00  01  01  01  01  01  01  01  00  00     
    6000015 BECCARIA                       FORLI'                         FC  44.12996  12.02000    28  011 20010101 20080116  00  01  01  01  01  00  01  00  00  00     
    6000018 LM-FC                          CASTROCARO TERME E TERRA DEL S FC -99.99999 -99.99999 -9999  000 19950101 -999      01  01  01  01  01  01  01  01  01  01     
    6000029 MELDOLA                        MELDOLA                        FC  44.13134  12.06277    35  033 20080606 20101029  01  00  01  01  01  00  00  00  01  00     
    6000031 SAVIGNANO                      SAVIGNANO SUL RUBICONE         FC  44.09687  12.40333    32  012 20080606 -999      01  01  01  01  01  00  00  00  01  00     
