
       CODE NAME                           MUNICIPALITY                   PR       LAT       LON  ELEV  CLA FIRSTDAY LASTDAY   O3  PM  N2  NO  NX  S2  CO  BZ  P2 MOB     
----------- ------------------------------ ------------------------------ -- --------- --------- ----- ---- -------- -------- --- --- --- --- --- --- --- --- --- ---     
    9000022 LM-RA                          CERVIA                         RA  44.26333  12.35301     1  000 19990427 -999      01  01  01  01  01  01  01  01  01  01     
    9000023 METEO PORTINERIA               RAVENNA                        RA  44.44000  12.23000 -9999  000 20030301 20171231  00  00  00  00  00  00  00  00  00  00     
    9000024 RANDI                          RAVENNA                        RA  44.40956  12.19216     4  000 20010201 20020131  00  01  00  00  00  00  00  00  01  00     
    9000025 CONSELICE                      CONSELICE                      RA  44.49488  11.81991 -9999  000 19990601 20090401  00  00  00  00  00  00  00  00  00  00     
    9000037 UM-RA-01 SKYPOST               RAVENNA                        RA  44.47791  12.20326     0  000 20070301 -999      00  01  00  00  00  00  00  00  01  01     
    9000048 FIUMETTO                       RAVENNA                        RA  44.45614  12.18360     4  000 19720101 19881231  00  00  00  00  00  01  00  00  00  00     
    9000049 CA' BOSCO                      RAVENNA                        RA  44.48070  12.17856     0  000 19721031 19880725  00  00  00  00  00  01  00  00  00  00     
    9000050 PANTANELLA                     RAVENNA                        RA  44.46383  12.19423     4  000 19721031 19880704  00  00  00  00  01  01  00  00  00  00     
    9000051 PUNTA MARINA                   RAVENNA                        RA   4.45322  11.36416     0  000 19721031 19880906  00  00  00  00  01  01  00  00  00  00     
    9000052 VIA ARGINI                     RAVENNA                        RA  44.47595  12.12773     4  000 19730105 19880628  00  00  00  00  00  01  00  00  00  00     
    9000053 LIDO ADRIANO                   RAVENNA                        RA  44.40749  12.30940 -9999  000 19720101 19960120  01  00  01  01  00  01  01  00  00  00     
    9000055 LIDO DI SAVIO                  RAVENNA                        RA  44.31808  12.34107     0  000 19750420 19811127  00  00  00  00  00  01  00  00  00  00     
    9000056 VIA FAENTINA                   RAVENNA                        RA  44.42549  12.16783     4  000 19750418 19900401  00  00  00  00  00  01  00  00  00  00     
    9000061 AMGA                           RAVENNA                        RA  44.44749  12.22685     4  000 19720101 19881231  01  00  01  01  01  00  00  00  00  00     
    9000062 LABORATORIO ARPA               RAVENNA                        RA  44.41706  12.20695     4  000 19781004 19891231  00  00  01  01  01  01  01  00  00  00     
    9000063 MARINA ROMEA                   RAVENNA                        RA  44.51199  12.27439     0  000 19760101 19880907  00  00  00  00  00  01  00  00  00  00     
    9000064 ROCCA BRANCALEONE              RAVENNA                        RA  44.40000  12.21000 -9999  000 19721124 19970831  00  00  00  00  00  01  00  00  00  00     
    9000068 BALLIRANA                      ALFONSINE                      RA  44.52743  11.98236     6  033 20080721 -999      01  00  01  01  01  00  00  00  01  00     
    9000069 CA' PINO                       RAVENNA                        RA  44.51435  12.22751     4  000 19760109 19880907  00  00  00  00  00  01  00  00  00  00     
    9000070 DELTA CERVIA                   CERVIA                         RA  44.28386  12.33225     0  002 20090225 -999      01  01  01  01  01  00  00  00  00  00     
    9000071 GIARDINI                       RAVENNA                        RA  44.41593  12.20806     4  031 20090401 20101222  01  01  01  01  01  00  00  00  01  00     
    9000072 UM-PREST-02 SKYPOST            COTIGNOLA                      RA  44.38437  11.93905    19  000 20120101 20130131  00  01  00  00  00  00  00  00  00  01     
    9000073 UM-PREST-03 SKYPOST            ALFONSINE                      RA  44.50486  12.04104     6  000 20120101 20120416  00  01  00  00  00  00  00  00  00  01     
    9000074 UM-PREST-04 SKYPOST            CASTEL BOLOGNESE               RA  44.31866  11.79682    42  000 20120101 20130201  00  01  00  00  00  00  00  00  00  01     
    9000076 UM-PREST-05 SKYPOST            COTIGNOLA                      RA  44.38323  11.92783    19  000 20120101 20130201  00  01  00  00  00  00  00  00  00  01     
    9000077 PORTO SAN VITALE               RAVENNA                        RA  44.44375  12.25325     0  022 20130701 -999      01  01  01  01  01  01  01  01  01  00     
    9000078 UM-RA-02 SKYPOST               RAVENNA                        RA  44.44723  12.26091     0  000 20140120 -999      00  01  00  00  00  00  00  00  01  01     
    9000079 UM-RA-03 SKYPOST               RAVENNA                        RA  44.46908  12.24606     0  000 20140120 -999      00  01  00  00  00  00  00  00  01  01     
    9000080 UM-RA-04 SKYPOST               RAVENNA                        RA  44.46626  12.25753     0  000 20140120 -999      00  01  00  00  00  00  00  00  01  01     
    9000081 UM-RA-05 SKYPOST               RAVENNA                        RA  44.45302  12.25978     0  000 20140120 -999      00  01  00  00  00  00  00  00  01  01     
    9000082 UM-RA-06 SKYPOST               RAVENNA                        RA  44.48523  12.27515     0  000 20140120 -999      00  01  00  00  00  00  00  00  01  01     
    9000083 PARCO BERTOZZI                 FAENZA                         RA  44.28561  11.87340    35  031 20151218 -999      01  01  01  01  01  00  00  00  01  00     
   10000001 FLAMINIA                       RIMINI                         RN  44.05210  12.57568     5  011 19950525 -999      00  01  01  01  01  01  01  01  00  00     
   10000002 MARECCHIA                      RIMINI                         RN  44.06431  12.55249     5  031 19950525 -999      01  01  01  01  01  00  01  00  01  00     
   10000003 ABETE                          RIMINI                         RN  44.04830  12.55966     6  011 19950524 20080513  00  00  01  01  01  00  01  00  00  00     
   10000004 RICCIONE                       RICCIONE                       RN  44.00567  12.65949     1  001 19980101 20080122  01  00  01  01  01  00  01  00  00  00     
   10000059 VERUCCHIO                      VERUCCHIO                      RN  44.01388  12.42096    78  032 20080123 -999      01  01  01  01  01  00  00  00  00  00     
   10000060 SAN CLEMENTE                   SAN CLEMENTE                   RN  43.93183  12.62728   179  033 20080123 -999      01  00  01  01  01  00  00  00  01  00     
   10000071 LM-RN                          SANT'ARCANGELO DI ROMAGNA      RN -99.99999 -99.99999 -9999  000 20040112 -999      01  01  01  01  01  00  01  01  00  01     
   10000072 MONDAINO                       MONDAINO                       RN  43.84381  12.64837   127  033 20100319 20101110  01  01  01  01  01  00  00  00  00  00     
   10000073 SUPERSITO - MARECCHIA          RIMINI                         RN  44.06431  12.55249     5  031 20110707 20160902  00  00  00  00  00  00  00  00  01  00     
   10000074 SAN LEO                        SAN LEO                        RN  43.90722  12.40123   540  033 20140224 -999      01  01  01  01  01  00  00  00  00  00     

Selezionate 226 righe.

