id_staz,lat,lon,quota,dataset,nome
H12334,44.34209,09.35624,25.0,fiduli,Panesi
H12342,44.19801,09.84904,48.0,fiduli,Piana Battolla-Ponte
H12357,44.05200,09.83594,40.0,fiduli,Portovenere-Comune
H12363,44.37488,09.45773,530.0,fiduli,Reppia
H12373,44.27470,09.65964,180.0,fiduli,S.Margherita Vara
H12386,44.26434,09.73698,580.0,fiduli,Sero' di Zignago
H12387,44.29848,09.67751,265.0,fiduli,Sesta Godano
H12388,44.27377,09.40992,10.0,fiduli,Sestri Levante
H12389,44.27000,09.42966,13.0,fiduli,Sestri Levante-Sara
H12392,44.40530,09.62050,895.0,fiduli,Taglieto
H12393,44.31274,09.54859,603.0,fiduli,Tavarone
H12403,44.38313,09.58420,345.0,fiduli,Varese Ligure
H12451,44.19802,09.95015,45.0,fiduli,CALAMAZZA
H12453,44.36182,09.89656,200.0,fiduli,PONTREMOLI-S.GIUSTINA
H12454,44.20233,10.06207,107.0,fiduli,SOLIERA
H12935,44.34611,09.34833,26.0,fiduli,Carasco
H12936,44.10379,10.00705,96.0,fiduli,Castelnuovo Magra
H12937,44.29694,09.37361,100.0,fiduli,Cavi di Lavagna
H12938,44.07491,10.00899,5.0,fiduli,Luni
H12939,44.13472,09.64028,75.0,fiduli,Monterosso
H13990,43.84342,12.59109,405.0,fiduma,Tavoleto
H14764,43.78058,12.34062,715.0,fiduma,Carpegna-ETGAN
H14772,43.75629,12.35881,608.0,fiduma,Frontino
H14779,43.80100,12.32023,1415.0,fiduma,Monte Carpegna-ETGAN
H06560,43.84781,12.46452,348.0,fiduma,Conca 1
H06561,43.88383,12.52890,221.0,fiduma,Conca 2
H06571,43.79447,12.61874,112.0,fiduma,Foglia 1
H06615,43.80859,12.51258,173.0,fiduma,Bronzo
H06625,43.72317,12.63668,471.0,fiduma,Urbino
H12731,45.18738,10.88674,26.0,fidupo,Bigarello
H12733,45.04561,10.75911,29.0,fidupo,Borgoforte
H12734,45.04578,10.75903,29.0,fidupo,Borgoforte SIAP
H12742,44.93986,09.27476,440.0,fidupo,Canevino
H12750,44.97661,10.41978,33.0,fidupo,Casalmaggiore
H12765,45.12860,09.99503,45.0,fidupo,Cremona
H12766,45.12835,09.99484,45.0,fidupo,Cremona SIAP
H12772,45.13071,10.84452,24.0,fidupo,Formigosa-Botte Sifone
H12782,45.08377,10.95258,22.0,fidupo,Governolo
H12791,45.11182,10.53090,37.0,fidupo,Marcaria
H12806,44.95932,10.75730,20.0,fidupo,Palidano di Gonzaga
H12809,44.68319,09.21615,1363.0,fidupo,Passo del Giova'
H12812,45.16369,10.05881,44.0,fidupo,Persico Dosimo
H12815,45.14158,09.22715,65.0,fidupo,Ponte Becca Po
H12816,45.14061,09.22922,62.0,fidupo,Ponte Becca SIAP
H12826,45.05406,12.33317,14.0,fidupo,Revere SIAP
H12832,45.18706,09.48623,80.0,fidupo,S.Colombano al Lambro meteo
