id_staz,lat,lon,quota,nome
S01207,  62.10300,   5.58170,  41.0,synop,FISKABYGD
S01209,  62.18100,   6.08070,  74.0,synop,ORSTA-VOLDA AP
S01210,  62.56170,   6.11500,  22.0,synop,ALESUND/VIGRA
S01212,  62.85900,   6.53830,  13.0,synop,ONA II
S01214,  62.65120,   6.75520,  43.0,synop,REKDAL
S01217,  62.74430,   7.26170,   3.0,synop,MOLDE AP
S01218,  62.23050,   7.42180,  11.0,synop,TAFJORD
S01220,  62.45550,   7.77030,1294.0,synop,MANNEN
S01221,  63.04930,   9.08780, 410.0,synop,TAGDALEN
S01223,  63.10930,   7.81580,  62.0,synop,KRISTIANSUND AP
S01224,  62.47030,   6.21080,  15.0,synop,AALESUND
S01225,  63.51800,   7.94670,   5.0,synop,VEIHOLMEN
S01227,  62.72200,   8.77530, 405.0,synop,INNERDALEN
S01228,  63.84670,   8.46670,   5.0,synop,SULA
S01229,  62.51580,   6.87170, 625.0,synop,LEBERGSFJELLET
S01230,  62.25830,   8.20000, 579.0,synop,BJORLI
S01232,  62.44500,   7.84830,  67.0,synop,MARSTEIN
S01233,  62.07170,   9.11470, 638.0,synop,DOMBAAS
S01234,  63.31530,   9.84950,   4.0,synop,ORKDAL-THAMSHAMN
S01237,  63.51870,   9.11250,  13.0,synop,HITRA
S01238,  62.11330,   9.28620, 973.0,synop,FOKSTUGU
S01239,  62.22070,   9.54230,1012.0,synop,HJERKINN II
S01240,  64.17300,   9.40630,  16.0,synop,HALTEN LH
S01241,  63.70450,   9.61050,  10.0,synop,ORLAND III
S01242,  63.96760,  10.22390,  30.0,synop,AFJORD II
S01245,  62.60430,   9.66670, 604.0,synop,OPPDAL-SETER
S01250,  62.12820,   9.99470, 694.0,synop,FOLLDAL-FREDHEIM
S01253,  62.95350,  10.17880, 299.0,synop,SOKNEDAL
S01254,  62.97630,  10.56080, 127.0,synop,KOTSOY
S01257,  63.41070,  10.45380, 127.0,synop,TRONDHEIM/VOLL
S01259,  64.40130,  10.45500,  18.0,synop,BUHOLMRASA LH
S01262,  64.79770,  10.54930,  33.0,synop,NORDOYAN LH
S01265,  62.26950,  10.73200, 482.0,synop,TYNSET-HANSMOEN
S01270,  63.48820,  10.87950,  40.0,synop,KVITHAMAR
S01271,  63.45920,  10.93520,  12.0,synop,TRONDHEIM/VERNES
S01272,  63.56570,  10.69400,  70.0,synop,FROSTA
S01273,  63.22480,  11.00750, 160.0,synop,SELBU
S01277,  64.02250,  11.45080,   6.0,synop,STEINKJER
