id_staz,lat,lon,quota,nome
S02526,  57.67611,  12.29194, 154.0,synop,Goteborg-Landvetter
S02536,  57.78361,  13.16722, 297.5,synop,RANGEDALA
S02539,  57.12278,  12.78194, 122.2,synop,ULLARED
S02540,  58.61167,  12.20000, 173.7,synop,KROPPEFJALL-GRANAN
S02542,  58.32583,  13.04556,  70.1,synop,HALLUM
S02544,  58.51361,  14.50722,  94.5,synop,Karlsborg
S02545,  58.56667,  14.56667,  91.0,synop,Axstal
S02546,  58.88444,  14.39528, 210.8,synop,GARDSJO
S02548,  58.10306,  14.41444,  94.8,synop,VISINGSO
S02549,  57.48583,  14.46806, 356.1,synop,TOMTABACKEN
S02550,  57.75000,  14.06667,      ,synop,Jonkoping Flygplats
S02552,  58.07556,  15.23778, 197.1,synop,MALEXANDER
S02553,  58.07940,  13.78495, 222.0,synop,KYMBO
S02554,  58.71667,  15.03917, 225.0,synop,KETTSTAKA
S02556,  57.28333,  14.13333,      ,synop,Hagshult
S02557,  57.88861,  15.87583,  90.0,synop,HORN
S02558,  58.69361,  16.31750, 153.5,synop,KOLMARDEN-STROMSFORS
S02559,  57.71222,  16.46444,  30.5,synop,GLADHAMMAR
S02561,  58.64028,  15.43361,  71.9,synop,Kvarn
S02562,  58.38334,  15.51667,      ,synop,Linkoping Malmen
S02563,  58.25083,  17.01778,  13.6,synop,HARSTENA
S02565,  57.38450,  15.80100,  95.7,synop,MALILLA
S02567,  58.75028,  17.87528,  18.2,synop,LANDSORT
S02574,  58.58283,  16.14700,  40.2,synop,NORRKOPING
S02575,  57.36778,  17.10889,   2.4,synop,OLANDS NORRA UDDE
S02587,  57.91694,  18.96139,  12.9,synop,FAROSUND-AR
S02589,  58.40167,  19.20722,  16.0,synop,GOTSKA SANDON
S02590,  57.66667,  18.35000,      ,synop,Visby Flygplats
S02595,  57.54361,  18.42533,  32.0,synop,ROMA
S02598,  57.44667,  18.98500,   5.0,synop,OSTERGARNSHOLM
S02602,  56.40404,  12.94361, 159.0,synop,HALLANDSASEN
S02603,  56.86254,  12.66280,  10.0,synop,BROEN
S02605,  56.46056,  12.55639,  10.0,synop,HALLANDS VADERO
S02607,  56.29778,  12.84417,  18.0,synop,Angelholm-Barkakra
S02609,  55.47411,  13.66833,  48.0,synop,RYNGE
S02611,  56.03972,  12.77556,  43.0,synop,HELSINGBORG
S02615,  55.38367,  12.81667,   1.5,synop,FALSTERBO
S02616,  55.38389,  12.81944,   3.0,synop,Falsterbo
S02618,  56.94950,  13.06017, 132.6,synop,TORUP
S02622,  56.85444,  13.89278, 148.4,synop,LJUNGBY
S02623,  55.85222,  13.67056, 113.5,synop,HORBY
S02625,  55.49278,  14.31778,   4.0,synop,SKILLINGE
S02628,  56.02333,  14.86000,  60.4,synop,HANO
S02629,  56.27445,  13.93778, 102.5,synop,Hastveda
S02632,  55.95972,  15.71278,   2.4,synop,UTKLIPPAN
S02635,  55.57472,  13.07806,  19.6,synop,MALMO
S02636,  55.52306,  13.37889,  72.0,synop,Malmo-Sturup
S02644,  56.20750,  16.40611,   1.8,synop,OLANDS SODRA UDDE
S02646,  56.66694,  16.46090,   0.0,synop,OLANDSBRON LAG
S02648,  56.85528,  14.84306, 198.8,synop,VAXJO
S02652,  56.02391,  14.10272,   7.0,synop,KRISTIANSTAD
S02661,  56.84500,  15.47222, 230.0,synop,Kosta (Orrefors)
S02664,  56.26667,  15.26667,      ,synop,Ronneby
S02667,  56.14306,  15.58667,   2.4,synop,Karlskrona-Soderstje
S02670,  56.68334,  16.30000,   6.0,synop,Kalmar
S02679,  56.92100,  18.15067,  34.3,synop,HOBURG
S02701,  69.04274,  20.85133,1002.0,synop,Enontekio Kilpisjarv
S02702,  69.14089,  27.26567, 156.0,synop,Inari Kaamanen
S02703,  60.20774,  24.74122,  31.0,synop,Espoo Sepankyla
S02704,  61.11478,  24.32445,  87.0,synop,Hattula Lepaa
S02705,  67.02204,  27.21840, 491.0,synop,Pelkosenniemi Pyhatu
S02706,  60.24404,  24.04929,  37.0,synop,Lohja Porla
S02708,  62.18325,  22.79972, 161.0,synop,Karvia Alkkia
S02710,  62.92178,  26.42470, 120.0,synop,Vesanto Sonkari
S02713,  61.21660,  25.13283, 134.0,synop,Hameenlinna Lammi Ev
S02714,  64.50144,  26.42386, 114.0,synop,Vaala Pelso
S02717,  68.16972,  25.78306, 275.0,synop,Kittila Pokka
S02718,  61.52242,  28.18491,  98.0,synop,Puumala kk Urheiluke
S02719,  67.82151,  27.74635, 240.0,synop,Sodankyla Lokka
S02720,  67.69602,  24.85816, 196.0,synop,Kittila airport
S02721,  63.95087,  22.84439,   5.0,synop,Kokkola Tankar
S02722,  68.41506,  27.41326, 302.0,synop,Inari Saariselka tou
S02723,  67.78472,  24.85319, 522.0,synop,Kittila Levitunturi
S02724,  60.11592,  20.29760,  11.0,synop,Lumparland L?ngnas h
S02725,  63.44564,  24.44422, 153.0,synop,Halsua Kanala Purola
S02726,  68.60303,  23.57599, 374.0,synop,Enontekio Nakkala
S02727,  61.26521,  25.52021,  79.0,synop,Asikkala Pulkkilanha
S02732,  62.79893,  27.90497,  86.0,synop,Kuopio Ritoniemi
S02733,  61.03879,  28.56395,  46.0,synop,Lappeenranta Konnuns
S02734,  61.44467,  29.46108,  74.0,synop,Parikkala Koitsanlah
S02735,  62.32783,  23.54228, 138.0,synop,Virrat Aijanneva
S02736,  61.89230,  27.88528, 110.0,synop,Juva Partala
S02737,  63.82136,  24.16325,  83.0,synop,Toholampi Laitala
S02738,  63.73589,  25.70573, 152.0,synop,Pyhajarvi Ojakyla
S02739,  64.11197,  28.33639, 161.0,synop,Sotkamo Kuolaniemi
S02741,  60.17836,  19.98633,  11.0,synop,Jomala Jomalaby
S02743,  59.86952,  22.19341,   8.0,synop,Kemionsaari Vano
S02744,  61.50123,  23.76468,  92.0,synop,Tampere keskusta Sat
S02745,  67.16226,  29.17766, 213.0,synop,Salla Naruska
S02746,  59.80861,  22.91248,  10.0,synop,Hanko Tulliniemi
S02747,  60.37788,  22.09640,   4.0,synop,Turku Rajakari
S02748,  62.17394,  27.86038,  87.0,synop,Joroinen Varkaus air
S02750,  59.84400,  23.24845,   3.0,synop,Hanko Tvarminne
S02751,  61.63040,  21.37592,   3.0,synop,Pori Tahkoluoto
S02752,  62.20348,  21.16971,   0.0,synop,Kristiinankaupunki l
S02753,  61.83849,  22.46374, 122.0,synop,Kankaanpaa Niinisalo
S02754,  60.99920,  24.49163,  87.0,synop,Hameenlinna Katinen
S02755,  64.05029,  24.72468,  76.0,synop,Ylivieska airfield
S02756,  60.37392,  23.11292,   2.0,synop,Salo Karkka
S02757,  59.82056,  23.57639,  15.0,synop,Raasepori Jussaro
S02758,  60.41875,  24.39862,  42.0,synop,Vihti Maasoja
S02759,  60.39172,  25.60730,  22.0,synop,Porvoo Harabacka
S02760,  66.17150,  29.13640, 305.0,synop,Kuusamo Ruka Talvija
S02761,  61.14477,  21.30273,   4.0,synop,Rauma Kylmapihlaja
S02763,  61.46572,  23.74654,  85.0,synop,Tampere Harmala
S02764,  67.99739,  24.20946, 270.0,synop,Kittila Lompolonvuom
S02765,  61.70443,  25.50520,  81.0,synop,Luhanka Judinsalo
S02766,  63.14172,  31.04444, 235.0,synop,Ilomantsi Potsonvaar
S02767,  61.05408,  25.03844, 125.0,synop,Hameenlinna Lammi Pa
S02768,  61.20005,  26.04950,  92.0,synop,Heinola Asemantaus
S02769,  62.41345,  22.18372,  93.0,synop,Kauhajoki Kuja-Kokko
S02770,  61.84591,  24.28696, 153.0,synop,Juupajoki Hyytiala
S02771,  61.87942,  26.09478, 146.0,synop,Joutsa Leivonmaki Sa
S02772,  62.06312,  28.56599,  79.0,synop,Rantasalmi Rukkasluo
S02773,  60.45439,  22.17870,   8.0,synop,Turku Artukainen
S02777,  60.46414,  23.64981, 117.0,synop,Salo Kiikala airfiel
S02778,  61.80204,  29.31517,  78.0,synop,Savonlinna Punkaharj
S02780,  62.93433,  21.18525,   1.0,synop,Korsnas Bredskaret
S02781,  62.97849,  20.73988,   2.0,synop,Maalahti Strommingsb
S02787,  63.08898,  24.26084, 171.0,synop,Alajarvi Moksy
S02788,  63.14343,  27.31317,  90.0,synop,Kuopio Maaninka
S02789,  63.37806,  28.66166, 166.0,synop,Rautavaara Yla-Luost
S02790,  60.25812,  20.74720,  23.0,synop,Kumlinge
S02791,  63.23236,  29.23397, 115.0,synop,Juuka Niemela
S02793,  62.54601,  29.66818,  78.0,synop,Liperi Tuiskavanluot
S02794,  59.92014,  24.34934,   2.0,synop,Kirkkonummi Makiluot
S02795,  60.10488,  24.97546,   3.0,synop,Helsinki Harmaja
S02796,  63.32108,  30.04578,  98.0,synop,Lieksa Lampela
S02797,  64.14263,  25.42335, 112.0,synop,Haapavesi Mustikkama
S02798,  63.66730,  28.82927, 115.0,synop,Valtimo centre
S02799,  64.29786,  30.16652, 197.0,synop,Kuhmo Kalliojoki
S02800,  64.61199,  23.89622,   0.0,synop,Raahe Nahkiainen
S02801,  69.04947,  20.79117, 480.0,synop,Enontekio Kilpisjarv
S02803,  64.68392,  25.08814,  48.0,synop,Siikajoki Revonlahti
S02804,  65.57489,  28.21766, 197.0,synop,Taivalkoski Urheilut
S02805,  69.75637,  27.00678, 107.0,synop,Utsjoki Kevo
S02807,  68.60790,  27.41387, 147.0,synop,Inari Ivalo airport
S02811,  66.36999,  29.31193, 165.0,synop,Kuusamo Kiutakongas
S02812,  66.52952,  24.64960,  93.0,synop,Ylitornio Meltosjarv
S02813,  66.57941,  26.01098, 106.0,synop,Rovaniemi Apukka
S02814,  66.71556,  27.15912, 208.0,synop,Kemijarvi airfield
S02815,  67.28611,  28.17691, 180.0,synop,Savukoski
S02816,  68.08422,  27.18501, 248.0,synop,Sodankyla Vuotso
S02817,  68.43394,  27.44410, 437.0,synop,Inari Saariselka Kau
S02818,  68.47800,  28.30123, 253.0,synop,Inari Rajajooseppi
S02819,  67.74858,  29.61132, 360.0,synop,Salla Varriotunturi
S02820,  68.06284,  24.03335, 760.0,synop,Muonio Laukukero
S02821,  67.97332,  24.11589, 565.0,synop,Muonio Sammaltunturi
S02823,  67.95824,  23.68462, 236.0,synop,Muonio Alamuonio
S02824,  67.98728,  24.24288, 347.0,synop,Kittila Kenttarova
S02825,  70.08203,  27.89650,  22.0,synop,Utsjoki Nuorgam
S02827,  69.07219,  27.49250, 123.0,synop,Inari Vayla
S02828,  60.38678,  22.55142,   6.0,synop,Kaarina Yltoinen
S02829,  60.59589,  24.80300,  86.0,synop,Hyvinkaa Hyvinkaanky
S02830,  60.69648,  26.81116,  33.0,synop,Kouvola Anjala
S02831,  60.52732,  27.67273,   5.0,synop,Virolahti Koivuniemi
S02832,  62.23539,  30.34662,  90.0,synop,Tohmajarvi Kemie
S02833,  62.93808,  22.48878,  26.0,synop,Seinajoki Pelmaa
S02834,  63.84113,  27.22057, 207.0,synop,Vierema Kaarakkala
S02835,  68.84919,  28.29910, 121.0,synop,Inari Nellim
S02836,  67.36663,  26.62901, 179.0,synop,Sodankyla Arctic Res
S02844,  66.77278,  23.96303,  85.0,synop,Pello centre
S02845,  66.56249,  25.82208, 193.0,synop,Rovaniemi airport
S02847,  66.49832,  25.70880,  85.0,synop,Rovaniemi railway st
S02849,  66.83403,  28.67427, 215.0,synop,Salla Myllytie
S02850,  62.32228,  27.90787,  83.0,synop,Varkaus Kosulanniemi
S02851,  64.93700,  25.37299,  10.0,synop,Oulu Oulunsalo Pello
S02852,  63.84444,  23.12433,   6.0,synop,Kokkola Hollihaka
S02857,  68.90296,  25.73646, 285.0,synop,Inari Angeli Lintupu
S02858,  69.58250,  28.89409, 106.0,synop,Inari Kirakkajarvi
S02859,  64.66404,  28.05673, 341.0,synop,Puolanka Paljakka
S02860,  67.65210,  24.90162, 181.0,synop,Kittila
S02862,  65.67292,  24.51525,   3.0,synop,Kemi Ajos
S02863,  65.38536,  24.09610,  25.0,synop,Kemi I lighthouse
S02864,  65.77961,  24.57942,  10.0,synop,Kemi Kemi-Tornio air
S02866,  65.40014,  26.96311, 120.0,synop,Pudasjarvi airfield
S02868,  66.16616,  29.15172, 500.0,synop,Kuusamo Rukatunturi
S02869,  65.99563,  29.22246, 264.0,synop,Kuusamo airport
S02872,  64.66589,  24.40695,   2.0,synop,Raahe Lapaluoto
S02873,  65.03975,  24.56118,   7.0,synop,Hailuoto Marjaniemi
S02874,  65.01967,  24.72758,   7.0,synop,Hailuoto Keskikyla
S02876,  65.00639,  25.39328,   3.0,synop,Oulu Vihreasaari har
S02880,  65.84733,  24.17369,   8.0,synop,Tornio Torppi
S02881,  65.97684,  26.36754, 161.0,synop,Ranua airfield
S02882,  67.99998,  24.24003, 340.0,synop,Kittila Matorova
S02883,  64.21678,  27.75194, 160.0,synop,Kajaani Petaisennisk
S02888,  69.04832,  27.75682, 120.0,synop,Inari Seitalaassa
S02889,  64.93127,  28.74673, 223.0,synop,Suomussalmi Pesio
S02890,  69.75700,  27.01200,  76.0,synop,Utsjoki Kevo Kevojar
S02897,  64.28275,  27.67332, 132.0,synop,Kajaani airport
S02903,  63.71754,  23.13874,  26.0,synop,Kruunupyy Kokkola-Pi
S02906,  60.17123,  22.75768,  12.0,synop,Kemionsaari Kemio
S02907,  64.33073,  23.44627,   3.0,synop,Kalajoki Ulkokalla
S02910,  63.43548,  21.06455,   4.0,synop,Mustasaari Valassaar
S02913,  63.13585,  23.05270,  44.0,synop,Kauhava airfield
S02914,  63.12034,  23.04369,  41.0,synop,Kauhava Uunimaantie
S02915,  63.08225,  25.85862, 130.0,synop,Viitasaari Haapaniem
S02917,  63.00825,  27.79935,  96.0,synop,Siilinjarvi Kuopio a
S02919,  61.19820,  28.47308,  77.0,synop,Lappeenranta Hiekkap
S02920,  63.75146,  22.52290,   2.0,synop,Pietarsaari Kallan
S02924,  62.53496,  24.21735, 159.0,synop,Ahtari Myllymaki
S02926,  61.47893,  21.78320,   9.0,synop,Pori railway station
S02927,  62.51044,  24.80764, 227.0,synop,Multia Karhila
S02928,  62.60155,  29.72380,  81.0,synop,Joensuu Linnunlahti
S02929,  62.65986,  29.61158, 118.0,synop,Liperi Joensuu airpo
S02931,  62.33365,  21.19035,   5.0,synop,Kaskinen Salgrund
S02934,  60.17169,  24.94460,   3.0,synop,Helsinki railway sta
S02935,  62.39758,  25.67087, 139.0,synop,Jyvaskyla airport
S02937,  61.25294,  22.34613,  38.0,synop,Kokemaki Tulkkila
S02939,  62.76966,  30.97533, 155.0,synop,Ilomantsi Mekrijarvi
S02942,          ,          ,      ,synop,Kankaanpaa Niinisalo
S02943,  61.51757,  23.75369,  98.0,synop,Tampere Siilinkari
S02944,  61.41838,  23.61811, 112.0,synop,Pirkkala Tampere-Pir
S02945,  61.85539,  24.80468, 143.0,synop,Jamsa Halli airport
S02946,  61.85959,  24.81483, 144.0,synop,Jamsa Halli Lentoase
S02947,  61.68858,  27.20226,  99.0,synop,Mikkeli airport
S02948,  61.94645,  28.93158,  95.0,synop,Savonlinna airport
S02949,  60.64668,  23.80559, 142.0,synop,Somero Salkola
S02950,  60.11163,  21.69828,   3.0,synop,Parainen Fagerholm
S02955,  62.89260,  27.63345,  87.0,synop,Kuopio Savilahti
S02956,  60.89077,  26.92915,  99.0,synop,Kouvola Utti Lentopo
S02957,  63.09875,  21.63952,   7.0,synop,Vaasa Klemettila
S02958,  61.04416,  28.15092, 105.0,synop,Lappeenranta airport
S02959,  61.05754,  28.20873, 103.0,synop,Lappeenranta Lepola
S02963,  60.81401,  23.49761, 104.0,synop,Jokioinen Observator
S02964,  60.72230,  21.02674,   4.0,synop,Kustavi Isokari
S02965,  60.96211,  25.63090,  78.0,synop,Lahti Laune
S02966,  60.89839,  26.94882, 102.0,synop,Kouvola Utti airport
S02967,  60.28673,  27.18532,   4.0,synop,Kotka Haapasaari
S02970,  60.12475,  19.90344,   5.0,synop,Jomala Mariehamn air
S02974,  60.32670,  24.95675,  51.0,synop,Vantaa Helsinki-Vant
S02976,  60.37538,  26.95893,  11.0,synop,Kotka Rankki
S02978,  60.17523,  24.94459,   4.0,synop,Helsinki Kaisaniemi
S02979,          ,          ,      ,synop,Kokar Bogskar
S02980,  59.95910,  19.95400,   8.0,synop,Lemland Nyhamn
S02981,  59.78423,  21.36783,   9.0,synop,Parainen Uto
S02982,  59.77361,  22.95194,   5.0,synop,Hanko Russaro
S02983,  60.50878,  24.65373, 111.0,synop,Nurmijarvi Geophysic
S02984,  59.93114,  24.01408,  12.0,synop,Inkoo B?gaskar
S02985,  60.17802,  24.78732,   6.0,synop,Espoo Tapiola
S02986,  60.29128,  24.56788,  90.0,synop,Espoo Nuuksio
S02987,  59.98518,  25.59855,   0.0,synop,Porvoo Kalb?dagrund
S02989,  59.94849,  24.92685,   0.0,synop,Helsinki lighthouse
S02991,  60.20380,  25.62548,  20.0,synop,Porvoo Emasalo
S02992,  60.27488,  26.44457,   5.0,synop,Loviisa Orrengrund
S02993,  60.30098,  19.13142,   3.0,synop,Hammarland Market
S02998,  60.20307,  24.96131,  24.0,synop,Helsinki Kumpula
S03002,  60.74891,  -0.85365,  15.0,synop,BALTASOUND NO 2
S03005,  60.13946,  -1.18299,  82.0,synop,LERWICK
S03008,  59.52654,  -1.62777,  57.0,synop,FAIR ISLE
S03010,  59.08284,  -4.40311,  12.0,synop,SULE SKERRY
S03017,  58.95387,  -2.89988,  26.0,synop,KIRKWALL
S03023,  57.35782,  -7.38385,   4.0,synop,SOUTH UIST RANGE
S03026,  58.21382,  -6.31772,  15.0,synop,STORNOWAY AIRPORT
S03031,  57.72510,  -4.89419, 269.0,synop,LOCH GLASCARNOCH
S03034,  57.85918,  -5.63159,  11.0,synop,AULTBEA NO 2
S03037,  57.25718,  -5.80418,  18.0,synop,SKYE: LUSA
S03039,  57.41813,  -5.68744, 773.0,synop,BEALACH NA BA NO 2
S03041,  56.82229,  -4.96787,1130.0,synop,AONACH MOR
S03044,  58.28807,  -4.44101,  81.0,synop,ALTNAHARRA NO 2
S03047,  56.86675,  -4.70670, 249.0,synop,TULLOCH BRIDGE
S03062,  57.81907,  -3.96524,   4.0,synop,TAIN RANGE
S03063,  57.20649,  -3.82693, 228.0,synop,AVIEMORE
S03065,  57.11636,  -3.64165,1237.0,synop,CAIRNGORM SUMMIT
S03066,  57.64574,  -3.56202,   5.0,synop,KINLOSS
S03068,  57.71153,  -3.32186,   7.0,synop,LOSSIEMOUTH
S03072,  56.88000,  -3.41000, 933.0,synop,CAIRNWELL
S03075,  58.45406,  -3.08840,  36.0,synop,WICK AIRPORT
S03080,  57.07595,  -2.83948, 140.0,synop,ABOYNE NO 2
S03088,  56.85205,  -2.26435, 134.0,synop,INVERBERVIE NO 2
S03091,  57.20506,  -2.20370,  65.0,synop,DYCE
S03100,  56.49999,  -6.87960,   9.0,synop,TIREE
S03105,  55.68132,  -6.24866,  17.0,synop,ISLAY: PORT ELLEN
S03111,  55.44081,  -5.69571,  10.0,synop,MACHRIHANISH
S03132,  54.85902,  -4.93414,  11.0,synop,WEST FREUGH
S03134,  55.90680,  -4.53122,  59.0,synop,"GLASGOW, BISHOPTON"
S03136,  55.51534,  -4.58343,  27.0,synop,"PRESTWICK, GANNET"
S03144,  56.32645,  -3.72734,  35.0,synop,STRATHALLAN AIRFIELD
S03148,  56.42351,  -4.31873, 564.0,synop,GLEN OGLE
S03153,  54.80326,  -4.00663, 113.0,synop,DUNDRENNAN
S03155,  55.62713,  -3.73481, 245.0,synop,DRUMALBIN
S03158,  55.70860,  -2.38330, 112.0,synop,CHARTERHALL
S03162,  55.31184,  -3.20545, 236.0,synop,ESKDALEMUIR
S03166,  55.92838,  -3.34294,  57.0,synop,"EDINBURGH, GOGARBANK"
S03171,  56.37745,  -2.86051,  10.0,synop,LEUCHARS
S03204,  54.08507,  -4.63070,  16.0,synop,RONALDSWAY
S03210,  54.51765,  -3.61345, 124.0,synop,ST BEES HEAD NO 2
S03212,  54.61386,  -3.15525,  81.0,synop,KESWICK
S03214,  54.12474,  -3.25657,  15.0,synop,WALNEY ISLAND
S03220,  54.93422,  -2.96223,  28.0,synop,CARLISLE
S03224,  55.05013,  -2.55297, 285.0,synop,SPADEADAM NO 2
S03225,  54.50196,  -2.68347, 252.0,synop,SHAP
S03226,  54.57232,  -2.41172, 227.0,synop,WARCOP RANGE
S03227,  54.68391,  -2.44986, 847.0,synop,GREAT DUN FELL NO 2
S03230,  55.28501,  -2.27790, 211.0,synop,REDESDALE CAMP
S03238,  55.01972,  -1.88012, 142.0,synop,ALBEMARLE
S03240,  55.42083,  -1.59966,  23.0,synop,BOULMER
S03257,  54.29682,  -1.53145,  33.0,synop,LEEMING
S03261,  54.13460,  -1.41293,  33.0,synop,DISHFORTH AIRFIELD
S03265,  54.20454,  -1.38856,  25.0,synop,TOPCLIFFE
S03266,  54.04502,  -1.24956,  14.0,synop,LINTON ON OUSE
S03275,  54.56270,  -0.86188, 158.0,synop,LOFTUS
S03281,  54.35857,  -0.66999, 262.0,synop,FYLINGDALES
S03292,  54.09377,  -0.17413,  15.0,synop,BRIDLINGTON MRSC
S03301,  53.25979,  -4.37492,  60.0,synop,MONA
S03302,  53.25238,  -4.53524,  10.0,synop,VALLEY
S03305,  53.09389,  -3.94016, 216.0,synop,CAPEL CURIG NO 3
S03313,  53.25905,  -3.50754,  77.0,synop,RHYL NO 2
S03316,  53.49701,  -3.05630,   9.0,synop,CROSBY
S03318,  53.77422,  -3.03799,  10.0,synop,"BLACKPOOL, SQUIRES G"
S03321,  53.17450,  -2.98605,  11.0,synop,HAWARDEN AIRPORT
S03330,  53.12755,  -1.97993, 298.0,synop,"LEEK, THORNCLIFFE"
S03344,  53.81101,  -1.86526, 262.0,synop,"BINGLEY, NO 2"
S03346,  53.61180,  -1.66698, 267.0,synop,EMLEY MOOR NO 2
S03351,  53.36006,  -2.38194,  35.0,synop,ROSTHERNE NO 2
S03354,  53.00528,  -1.24969, 117.0,synop,"NOTTINGHAM, WATNALL"
S03373,  53.30660,  -0.54649,  57.0,synop,SCAMPTON
S03377,  53.17530,  -0.52330,  68.0,synop,WADDINGTON
S03379,  53.03088,  -0.50194,  63.0,synop,CRANWELL
S03382,  53.87437,  -0.44009,   7.0,synop,LECONFIELD
S03385,  53.47455,   0.15460,   8.0,synop,DONNA NOOK NO 2
S03391,  53.09352,  -0.17119,   6.0,synop,CONINGSBY
S03392,  53.08802,   0.27265,   3.0,synop,WAINFLEET NO 2
S03405,  52.78858,  -4.74026,  95.0,synop,ABERDARON
S03409,  52.90728,  -3.58303, 163.0,synop,BALA
S03410,  52.75701,  -3.46411, 360.0,synop,LAKE VYRNWY NO 2
S03414,  52.79433,  -2.66329,  72.0,synop,SHAWBURY
S03462,  52.61099,  -0.45963,  73.0,synop,WITTERING
S03469,  52.87290,   0.14021,   3.0,synop,HOLBEACH NO 2
S03482,  52.65096,   0.56772,  21.0,synop,MARHAM
S03488,  52.94900,   1.12413,  21.0,synop,WEYBOURNE
S03502,  52.13914,  -4.56999, 133.0,synop,ABERPORTH
S03503,  52.34395,  -3.94683,  63.0,synop,TRAWSGOED
S03507,  52.06290,  -3.61341, 307.0,synop,SENNYBRIDGE NO 2
S03520,  52.24259,  -2.88450,  99.0,synop,SHOBDON AIRFIELD
S03522,  52.07964,  -2.80102,  76.0,synop,"HEREFORD, CREDENHILL"
S03529,  52.14803,  -2.03979,  35.0,synop,PERSHORE
S03535,  52.47975,  -1.68925,  96.0,synop,COLESHILL
S03544,  52.35844,  -1.32987, 107.0,synop,CHURCH LAWFORD
S03560,  52.22654,  -0.46376,  85.0,synop,BEDFORD
S03590,  52.12342,   0.95910,  89.0,synop,WATTISHAM
S03604,  51.70841,  -5.05229,  44.0,synop,MILFORD HAVEN CONSER
S03605,  51.71402,  -4.36632,   3.0,synop,PEMBREY SANDS
S03609,  51.56513,  -3.98056,  43.0,synop,MUMBLES HEAD
S03628,  51.52144,  -2.57577,  59.0,synop,FILTON
S03647,  51.86026,  -1.69148, 210.0,synop,LITTLE RISSINGTON
S03649,  51.75803,  -1.57649,  82.0,synop,BRIZE NORTON
S03658,  51.61990,  -1.09712,  57.0,synop,BENSON
S03660,  51.68133,  -0.80528, 204.0,synop,"HIGH WYCOMBE, HQAIR"
S03672,  51.54815,  -0.41534,  33.0,synop,NORTHOLT
S03680,  51.80624,  -0.35858, 128.0,synop,ROTHAMSTED
S03684,  51.89568,   0.45225,  87.0,synop,ANDREWSFIELD
S03693,  51.55423,   0.82872,   2.0,synop,"SHOEBURYNESS, LANDWI"
S03707,  51.08865,  -4.14743,   6.0,synop,CHIVENOR
S03710,  51.08636,  -3.60775, 348.0,synop,LISCOMBE
S03716,  51.40065,  -3.44477,  49.0,synop,ST ATHAN
S03740,  51.50310,  -1.99240, 145.0,synop,LYNEHAM
S03743,  51.20125,  -1.80443, 132.0,synop,LARKHILL
S03746,  51.16127,  -1.75317, 126.0,synop,BOSCOMBE DOWN
S03749,  51.14934,  -1.56851,  90.0,synop,MIDDLE WALLOP
S03761,  51.23850,  -0.94346, 118.0,synop,ODIHAM
S03768,  51.27944,  -0.77107,  65.0,synop,SOUTH FARNBOROUGH
S03769,  51.14352,  -0.22786,  67.0,synop,CHARLWOOD
S03770,  51.50425,  -0.12948,   5.0,synop,"LONDON, ST JAMES'S P"
S03772,  51.47872,  -0.44904,  25.0,synop,HEATHROW
S03781,  51.30346,  -0.08994, 170.0,synop,KENLEY AIRFIELD
S03784,  51.46398,   0.31301,   3.0,synop,"GRAVESEND, BROADNESS"
S03796,  51.13304,   1.34502, 117.0,synop,LANGDON BAY
S03797,  51.34597,   1.33716,  49.0,synop,MANSTON
S03803,  49.91404,  -6.29488,  31.0,synop,SCILLY: ST MARYS AIR
S03808,  50.21782,  -5.32656,  87.0,synop,CAMBORNE
S03809,  50.08380,  -5.25609,  76.0,synop,CULDROSE
S03823,  50.50160,  -4.66579, 200.0,synop,"CARDINHAM, BODMIN"
S03827,  50.35435,  -4.11986,  50.0,synop,"PLYMOUTH, MOUNTBATTE"
S03839,  50.73661,  -3.40458,  27.0,synop,EXETER AIRPORT
S03840,  50.85969,  -3.23890, 252.0,synop,DUNKESWELL AERODROME
S03853,  51.00586,  -2.64148,  20.0,synop,YEOVILTON
S03857,  50.52156,  -2.45431,  52.0,synop,ISLE OF PORTLAND
S03862,  50.77890,  -1.83483,  10.0,synop,HURN
S03866,  50.57506,  -1.29549,  20.0,synop,WIGHT: ST CATHERINES
S03872,  50.81422,  -0.92098,   4.0,synop,THORNEY ISLAND
S03874,  50.81000,  -1.21000,   9.0,synop,SOLENT
S03876,  50.83561,  -0.29194,   2.0,synop,SHOREHAM AIRPORT
S03882,  50.89038,   0.31818,  52.0,synop,"HERSTMONCEUX, WEST E"
S03894,  49.43292,  -2.59812, 101.0,synop,GUERNSEY AIRPORT
S03895,  49.20965,  -2.19430,  84.0,synop,JERSEY AIRPORT
S03896,  49.20000,  -2.10000,  54.0,synop,JERSEY: ST HELIER
S03901,  54.32950,  -7.59413,  72.0,synop,THOMASTOWN
S03904,  54.70703,  -7.57668,  49.0,synop,CASTLEDERG
S03907,  55.16020,  -6.94835,   6.0,synop,MAGILLIGAN NO 2
S03911,  54.72106,  -6.81376, 225.0,synop,LOUGH FEA
S03915,  54.86529,  -6.45686,  64.0,synop,PORTGLENONE
S03916,  55.18062,  -6.15336, 156.0,synop,BALLYPATRICK FOREST
S03917,  54.66357,  -6.22436,  63.0,synop,ALDERGROVE
S03923,  54.23711,  -6.50256, 161.0,synop,GLENANNE NO 2
S03951,  51.47000,  -9.42000,  20.0,synop,SHERKIN ISLAND
S03952,  51.80000,  -8.25000,  40.0,synop,ROCHES POINT
