id_staz,lat,lon,quota,dataset,nome
H10141,44.77839,10.97129,23.0,agrmet,Cortile di Carpi
H02289,44.70214,10.95670,28.0,agrmet,Albareto
H02290,44.63005,11.02747,32.0,agrmet,Castelfranco Emilia
H02292,44.44853,11.86667,10.0,agrmet,S. Agata sul Santerno
H02295,44.31392,12.16020,5.0,agrmet,S. Pietro in Vincoli
H02297,44.03456,12.50050,36.0,agrmet,Vergiano
H02301,44.69500,11.14493,18.0,agrmet,S. Agata Bolognese
H02303,44.91630,11.82130,1.0,agrmet,Copparo 0
H02305,44.74325,10.77293,33.0,agrmet,Correggio
H02306,44.68953,10.51062,95.0,agrmet,Cavriago
H02307,44.08903,12.27459,113.0,agrmet,Carpineta
H02308,44.56350,11.84403,5.0,agrmet,Lavezzola
H53010,44.88547,10.38070,28.0,agrmet,Gainago
H53240,44.91940,11.82495,1.0,agrmet,Copparo
H06227,44.57105,11.53379,20.0,agrmet,Mezzolara
H06228,44.55254,11.69918,8.0,agrmet,S. Antonio Arpa
H06232,44.41112,11.59701,58.0,agrmet,Castel San Pietro Arpa
H06233,44.55123,10.90937,90.0,agrmet,Formigine
H06237,45.00695,10.16786,31.0,agrmet,Zibello
H06238,44.83695,10.57823,23.0,agrmet,Castelnovo di Sotto
H06239,44.47562,10.50865,580.0,agrmet,Carpineti
H06240,44.32841,10.62300,632.0,agrmet,Montefiorino
H06242,44.78042,10.03873,277.0,agrmet,Pieve di Cusignano
H06245,44.88612,11.01631,18.0,agrmet,Mirandola
H06259,44.04111,11.98190,330.0,agrmet,Cusercoli
H06260,45.04139,09.58959,68.0,agrmet,S. Nicolo'
H06261,45.00253,10.00494,41.0,agrmet,Castellazzo Villanova d'Arda
H06263,44.82606,11.12578,16.0,agrmet,S. Felice sul Panaro
H06264,44.62775,11.29056,25.0,agrmet,Padulle Sala Bolognese
H06265,44.41953,11.75408,19.0,agrmet,Sasso Morelli
H06270,43.92610,12.71139,54.0,agrmet,Morciano
H06289,44.12022,11.80825,556.0,agrmet,Modigliana Arpa
H06640,44.74656,11.74639,3.0,agrmet,Sellarino Voghiera
H06643,44.83186,11.45436,10.0,agrmet,Mirabello
H70000,44.21978,11.75545,185.0,agrmet,Brisighella
H07218,44.49614,11.20006,65.0,agrmet,Zola Predosa
H12626,44.52250,12.51139,10.0,boa,Garibaldi A.
H12627,44.47944,12.27083,5.0,boa,Piomboni_Elisup
H12628,44.39111,12.34361,25.0,boa,Angelina
H12630,44.07694,13.78167,30.0,boa,Barbara
H53146,44.21458,12.47587,0.0,boa,Nausicaa 2
H53155,44.26714,12.35751,0.0,boa,Cervia Porto
H53156,43.97027,12.75067,0.0,boa,Cattolica Porto
H53157,44.26714,12.35752,0.0,boa,Cervia Porto radar
H53158,43.97027,12.75068,0.0,boa,Cattolica Porto radar
H14598,44.48044,12.27744,-1.0,claster,Marina di Ravenna
H14599,44.54841,11.36743,28.0,claster,Serpieri
H14600,44.23029,11.05908,254.0,claster,Riola di Vergato
H14601,44.05356,11.84166,250.0,claster,Rocca San Casciano
H14602,43.90708,11.79314,553.0,claster,Corniolo
H14603,44.11827,11.00561,474.0,claster,Diga di Pavana
H14604,44.12889,11.11750,840.0,claster,Diga di Brasimone
H14605,44.13417,11.04278,478.0,claster,Diga di Suviana
H14606,44.35313,12.26505,-2.0,claster,Fosso Ghiaia
H14607,44.83519,12.09812,1.0,claster,Codigoro
H14608,44.28002,11.26172,613.0,claster,Monzuno
H14609,43.89056,12.08611,336.0,claster,Diga di Quarto
H12863,44.41770,11.91331,14.0,cro,Lugo RA
H07364,44.55489,11.99460,6.0,cro,Idrovoro Tratturo
H07365,44.42099,11.80877,16.0,cro,Mordano Bubano
H07366,44.56128,12.24389,4.0,cro,Ponte Chiavica
H07367,44.40099,11.86376,16.0,cro,Santerno Senio 1
H07368,44.36821,11.83876,19.0,cro,Santerno Senio 2
H14633,46.51167,11.68861,2055.0,fidubz,Alpe di Siusi
H14634,46.49750,11.31278,254.0,fidubz,Bolzano
H14635,46.40639,11.31083,226.0,fidubz,Bronzolo
H14636,46.80417,11.93139,828.0,fidubz,Brunico
H14637,46.90028,11.94722,851.0,fidubz,Molini di Tures
H14638,46.85583,12.20028,2747.0,fidubz,Cima Regola
H14639,46.96833,11.19278,3399.0,fidubz,Cima Libera
H14640,46.68000,12.25722,2906.0,fidubz,Cima Piatta Alta
H14641,46.56556,11.90583,2200.0,fidubz,Piz Pisciadu
H14642,46.64167,11.49056,2071.0,fidubz,Corno del Renon
H14643,46.80639,10.49833,2040.0,fidubz,Belpiano
H14644,46.77667,10.48778,2926.0,fidubz,Cima Undici
H14645,46.72889,12.20500,1250.0,fidubz,Dobbiaco
H14646,46.51333,11.50611,835.0,fidubz,Fiè allo Scilar
H14647,46.48583,10.83167,1900.0,fidubz,Fontana Bianca
H14648,46.84000,11.31750,2145.0,fidubz,Cresta del Giovo
H14649,46.93583,11.36583,1950.0,fidubz,Ladurns
H14650,46.46917,10.81917,2255.0,fidubz,Pian dei Cavalli
H14651,46.84167,12.20917,2152.0,fidubz,Malga Pfinn
H14652,46.92444,11.68806,2050.0,fidubz,Malga Senta
H14653,46.79500,11.47722,2100.0,fidubz,Malga Tramin
H14654,46.50861,10.72667,1720.0,fidubz,Alta Val Martello
H14655,46.69000,11.13583,333.0,fidubz,Merano Quarazze
H14656,46.70583,10.52111,1310.0,fidubz,Monte Maria
H14657,46.82889,11.11444,2926.0,fidubz,Giogo Scabro
H14658,46.64778,10.99083,541.0,fidubz,Naturno
H14659,46.42194,11.42667,1470.0,fidubz,Nova Ponente
H14660,46.34694,11.30472,250.0,fidubz,Ora
H14661,46.62500,10.64944,874.0,fidubz,Oris-Lasa
H14663,46.77972,11.41417,1450.0,fidubz,Pennes
H14664,46.56444,11.90611,2050.0,fidubz,Piz la Ila
H14665,46.79611,11.08806,1620.0,fidubz,Plan
H14666,46.69861,11.73361,2472.0,fidubz,Monte Telegrafo
H14667,46.66250,12.37000,1910.0,fidubz,Prati di Croda Rossa
H14668,46.79194,11.10139,2015.0,fidubz,Prati di Plan
H14669,47.01583,12.13111,3090.0,fidubz,Picco Lungo
